ticker,company,price,marketCap,need,r1_score,reason
ASO,Academy Sports and Outdoors Inc. Common Stock,43.475,2696248679.0,retail,24,"R1: need alignment below threshold (score 4/30, need=retail)"
AKR,Acadia Realty Trust Common Stock,21.24,2916947015.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AAMI,Acadian Asset Management Inc. Common Stock,93.48,3317617165.0,finance,22,"R1: need alignment below threshold (score 2/30, need=finance)"
ACAZF,Acadian Timber Corp.,12.3,231000544.0,shelter,33,"R1: need alignment below threshold (score 18/30, need=shelter)"
ACASF,Acast AB (publ),3.83,805195904.0,media,20,"R1: need alignment below threshold (score 2/30, need=media)"
ACEL,Accel Entertainment Inc. ,11.9,966202353.0,discretionary,21,"R1: need alignment below threshold (score 3/30, need=discretionary)"
ARX,Accelerant Holdings Class A Common Shares,19.67,4272098818.0,finance,26,"R1: need alignment below threshold (score 6/30, need=finance)"
ACWRF,Acceleware Ltd.,0.07,10019019.0,unknown,8,"R1: need alignment below threshold (score 8/30, need=unknown)"
ACLLY,Accelleron Industries AG,92.3,8679979008.0,infrastructure,35,"R1: need alignment below threshold (score 15/30, need=infrastructure)"
ACN,Accenture plc Class A Ordinary Shares (Ireland),186.93,114390327296.0,software:health,38,"R1: need alignment below threshold (score 18/30, need=software:health)"
ACCS,ACCESS Newswire Inc. Common Stock,5.13,19634070.0,services,13,"R1: need alignment below threshold (score 8/30, need=services)"
ACCO,Acco Brands Corporation Common Stock,4.21,388614861.0,media,18,"R1: need alignment below threshold (score 3/30, need=media)"
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,2.9,40454712.0,services,15,"R1: need alignment below threshold (score 6/30, need=services)"
ACRFF,Accor SA,56.09,12932280320.0,discretionary,24,"R1: need alignment below threshold (score 4/30, need=discretionary)"
ACSYF,Accsys Technologies PLC,0.96,236466752.0,shelter,33,"R1: need alignment below threshold (score 18/30, need=shelter)"
ANIOY,"Acerinox, S.A.",10.28,5122703872.0,materials,30,"R1: need alignment below threshold (score 10/30, need=materials)"
ACNB,ACNB Corporation Common Stock,64.7,657994471.0,finance,23,"R1: need alignment below threshold (score 5/30, need=finance)"
ACJJF,"Acom Co., Ltd.",2.44,3822537984.0,finance,24,"R1: need alignment below threshold (score 4/30, need=finance)"
ACR,ACRES Commercial Realty Corp. Common Stock,14.86,199903987.0,shelter,23,"R1: need alignment below threshold (score 8/30, need=shelter)"
GOLF,Acushnet Holdings Corp. Common Stock,86.21,5035098843.0,discretionary,23,"R1: need alignment below threshold (score 3/30, need=discretionary)"
ACVA,ACV Auctions Inc. Class A Common Stock,7.28,1236202112.0,transport,26,"R1: need alignment below threshold (score 8/30, need=transport)"
ADAML,Adamas Trust Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,24.88,2236209076.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
ADAMZ,Adamas Trust Inc. 7.000% Series G Cumulative Redeemable Preferred Stock $0.01 par value per share,18.7369,1684068562.0,shelter,26,"R1: need alignment below threshold (score 8/30, need=shelter)"
ADAMM,Adamas Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.52,2293732139.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
ADAMN,Adamas Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,25.05,2251488639.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
ADAMI,Adamas Trust Inc. 9.125% Senior Notes Due 2029,25.318,2293290490.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
ADAM,Adamas Trust Inc. Common Stock,9.84,884417094.0,shelter,26,"R1: need alignment below threshold (score 8/30, need=shelter)"
ADTI,"Adapti, Inc.",2.96,24933276.0,health-adjacent,17,"R1: need alignment below threshold (score 12/30, need=health-adjacent)"
ADCV,ADCapital US Inc.,0.0715,26696112.0,finance,7,"R1: need alignment below threshold (score 4/30, need=finance)"
ADBKF,Addiko Bank AG,32.25,622010304.0,finance,22,"R1: need alignment below threshold (score 4/30, need=finance)"
ADDHY,Addtech AB (publ.),17.91,9669983232.0,infrastructure,36,"R1: need alignment below threshold (score 16/30, need=infrastructure)"
AHEXY,Adecco Group AG,14.99,5196192256.0,software:transport,33,"R1: need alignment below threshold (score 13/30, need=software:transport)"
ADEA,Adeia Inc. Common Stock,27.13,2991900470.0,media,26,"R1: need alignment below threshold (score 6/30, need=media)"
HDIUF,ADENTRA Inc.,26.5,642505664.0,infrastructure,34,"R1: need alignment below threshold (score 16/30, need=infrastructure)"
ADSGF,adesso SE,60.0,384427744.0,software:health,33,"R1: need alignment below threshold (score 18/30, need=software:health)"
ADXDF,Adex Mining Inc.,0.075,50790860.0,materials,14,"R1: need alignment below threshold (score 8/30, need=materials)"
ADFJF,ADF Group Inc.,11.31,322936192.0,infrastructure,30,"R1: need alignment below threshold (score 15/30, need=infrastructure)"
ADRMF,Adherium Limited,0.3,16466302.0,unknown,13,"R1: need alignment below threshold (score 8/30, need=unknown)"
ADIG,ADI Global Distribution Inc. Common Stock,22.27,1690809619.0,infrastructure,30,"R1: need alignment below threshold (score 12/30, need=infrastructure)"
AMIGF,Admiral Group plc,43.53,13011204096.0,finance,26,"R1: need alignment below threshold (score 6/30, need=finance)"
ADBE,Adobe Inc. Common Stock,273.92,108883206144.0,software,32,"R1: need alignment below threshold (score 12/30, need=software)"
ADT,ADT Inc. Common Stock,7.43,5428055040.0,software:health,38,"R1: need alignment below threshold (score 18/30, need=software:health)"
ADVOF,Adtran Networks SE,27.02,1406512640.0,infrastructure,33,"R1: need alignment below threshold (score 15/30, need=infrastructure)"
ADUR,Aduro Clean Technologies Inc. Common Stock,15.43,544883123.0,infrastructure,30,"R1: need alignment below threshold (score 12/30, need=infrastructure)"
AAP,Advance Auto Parts Inc.,43.64,2635856000.0,transport,32,"R1: need alignment below threshold (score 12/30, need=transport)"
ADZZF,Advance Residence Investment Corporation,1050.0,2994917120.0,finance,24,"R1: need alignment below threshold (score 4/30, need=finance)"
ADVNF,Advance ZincTek Limited,0.53,33220322.0,infrastructure,21,"R1: need alignment below threshold (score 12/30, need=infrastructure)"
WMS,Advanced Drainage Systems Inc. Common Stock,141.44,10665331572.0,infrastructure,34,"R1: need alignment below threshold (score 14/30, need=infrastructure)"
AFCG,Advanced Flower Capital Inc. Common Stock,3.39,76857805.0,shelter,20,"R1: need alignment below threshold (score 8/30, need=shelter)"
AVIKF,Advanced Info Service Public Company Limited,12.0,66824024064.0,infrastructure,34,"R1: need alignment below threshold (score 14/30, need=infrastructure)"
ASIX,AdvanSix Inc. Common Stock ,16.36,441739403.0,infrastructure,27,"R1: need alignment below threshold (score 12/30, need=infrastructure)"
ADV,Advantage Solutions Inc. Class A Common Stock,33.69,447917952.0,media,17,"R1: need alignment below threshold (score 2/30, need=media)"
ADBT,Advasa Holdings Inc. Common Stock,6.26,3049031295.0,software:infrastructure,38,"R1: need alignment below threshold (score 18/30, need=software:infrastructure)"
ADWYF,Adways Inc.,2.259,81781272.0,media,16,"R1: need alignment below threshold (score 4/30, need=media)"
AECLY,AECI Ltd,5.0,527588864.0,infrastructure,34,"R1: need alignment below threshold (score 16/30, need=infrastructure)"
AEDFF,Aedifica NV/SA,82.43,6880406528.0,y-unmapped,28,"R1: need alignment below threshold (score 8/30, need=y-unmapped)"
AGZNF,Aegean Airlines S.A.,14.2,1274256384.0,transport,36,"R1: need alignment below threshold (score 18/30, need=transport)"
SCUPF,Aegis Brands Inc.,0.273,23283398.0,discretionary,9,"R1: need alignment below threshold (score 4/30, need=discretionary)"
AEGOF,Aegon Ltd.,9.5,14106499072.0,finance,25,"R1: need alignment below threshold (score 5/30, need=finance)"
AEG,Aegon Ltd. New York Registry Shares,9.21,17581434197.0,finance,25,"R1: need alignment below threshold (score 5/30, need=finance)"
AMTX,Aemetis Inc. (DE) Common Stock,1.91,137843925.0,infrastructure,27,"R1: need alignment below threshold (score 12/30, need=infrastructure)"
ANNSF,Aena S.A./ADR,31.1,47473631232.0,transport,38,"R1: need alignment below threshold (score 18/30, need=transport)"
ANYYY,"Aena S.M.E., S.A.",15.85,47550001152.0,transport,38,"R1: need alignment below threshold (score 18/30, need=transport)"
AONNY,"Aeon Co., Ltd.",8.74,24180299776.0,retail,23,"R1: need alignment below threshold (score 3/30, need=retail)"
AEORF,AEON REIT Investment Corporation,813.722,1710906624.0,finance,22,"R1: need alignment below threshold (score 4/30, need=finance)"
AER,AerCap Holdings N.V. Ordinary Shares,147.44,23175219200.0,software:transport,36,"R1: need alignment below threshold (score 16/30, need=software:transport)"
AERT,Aeries Technology Inc. Class A Ordinary Share,6.88,37104080.0,software:infrastructure,19,"R1: need alignment below threshold (score 10/30, need=software:infrastructure)"
ARSRF,Aeris Resources Limited,0.323,483558400.0,materials,23,"R1: need alignment below threshold (score 8/30, need=materials)"
AEOXF,Aeroports de Paris SA,128.675,12731010048.0,transport,38,"R1: need alignment below threshold (score 18/30, need=transport)"
AVAV,AeroVironment Inc. Common Stock,147.42,7492269903.0,transport,35,"R1: need alignment below threshold (score 15/30, need=transport)"
ASLE,AerSale Corporation Common Stock,5.61,267747140.0,infrastructure,31,"R1: need alignment below threshold (score 16/30, need=infrastructure)"
AVEX,AEVEX Corp. Class A Common Stock,17.45,1990027665.0,transport,33,"R1: need alignment below threshold (score 15/30, need=transport)"
AFCJF,AFC Ajax NV,10.5,192499984.0,media,17,"R1: need alignment below threshold (score 2/30, need=media)"
STGAF,Afentra plc,0.97,266880880.0,energy,23,"R1: need alignment below threshold (score 8/30, need=energy)"
MGRD,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,14.74,418793809.0,finance,17,"R1: need alignment below threshold (score 2/30, need=finance)"
MGRB,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,16.17,459423059.0,finance,17,"R1: need alignment below threshold (score 2/30, need=finance)"
MGR,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,19.72,560285882.0,finance,20,"R1: need alignment below threshold (score 2/30, need=finance)"
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 2064,22.48,638703176.0,finance,20,"R1: need alignment below threshold (score 2/30, need=finance)"
