ticker,company,listing
IMHDF,Isetan Mitsukoshi Holdings Ltd.,otc
ISLWF,Israel Acquisitions Corp,otc
ISRLF,Israel Acquisitions Corp,sec_only
ISDAF,Israel Discount Bank Limited,otc
ISADY,ISS A/S / ADR,sec_only
ISUZF,Isuzu Motors Limited,otc
ITOCF,ITOCHU CORP,sec_only
ITVPY,ITV plc,otc
IXQUF,IX Acquisition Corp.,otc
JPNRF,"Japan Airlines Co., Ltd.",otc
JAIRF,"Japan Airport Terminal Co., Ltd.",otc
JNNDF,Japan Display Inc.,otc
OSCUF,"Japan Exchange Group, Inc./ADR",sec_only
JPHLF,"Japan Post Holdings Co., Ltd./ADR",sec_only
JPSTF,"Japan Post Bank Co., Ltd.",sec_only
JPNPY,"Japan Post Insurance Co., Ltd.",otc
JPSWY,"The Japan Steel Works, Ltd.",otc
JAPAF,Japan Tobacco Inc.,otc
JCYGY,Jardine Cycle & Carriage Limited,otc
JARLF,Jardine Matheson Holdings Limited,otc
JBHIF,JB Hi-Fi Limited/ADR,sec_only
JDHIF,JD Health International Inc.,otc
JRONF,"Jerónimo Martins, SGPS, S.A.",otc
JGCCY,JGC Holdings Corporation,otc
JEXYF,Jiangsu Expressway Company Limited,otc
JHPCY,"Jiangsu Hengrui Pharmaceuticals Co., Ltd./ADR",sec_only
JNBBY,JNBY Design Limited,otc
JEHLY,Johnson Electric Holdings Limited,otc
JMPLY,Johnson Matthey PLC,otc
JMPLD,Johnson Matthey Plc,otc
JBFCY,Jollibee Foods Corporation,otc
JUKCF,Juki Corporation,otc
JBAXY,Julius Bär Gruppe AG,otc
JUTOY,Jutal Offshore Oil Services Limited,otc
JVCZY,JVCKENWOOD Corporation,otc
JYSKF,Jyske Bank A/S,otc
KAJMY,Kajima Corporation,otc
KAEPF,"The Kansai Electric Power Company, Incorporated",otc
KPTCY,"Kansai Paint Co., Ltd.",otc
KAOCF,Kao Corporation,otc
KPCPY,Kasikornbank Public Company Limited,otc
KPCUF,Kasikornbank Public Company Limited,otc
KWHIY,"Kawasaki Heavy Industries, Ltd.",otc
KAKKF,"Kawasaki Kisen Kaisha, Ltd.",otc
KBCSF,KBC Group NV,otc
KDDIF,KDDI CORP,sec_only
KVAWF,Keen Vision Acquisition Corporation,otc
KVACF,Keen Vision Acquisition Corp.,sec_only
KERCY,Keisei Electric Railway Co. Ltd/ADR,sec_only
KPELF,Keppel Ltd.,otc
PPRUY,Kering SA,otc
KRYPY,Kerry Properties Limited,otc
KKOAF,Kesko Oyj,otc
KEYRY,Keyera Corp.,otc
KOGMF,KGL Resources Ltd.,otc
KIKOF,Kikkoman Corporation,otc
KBDCY,Kingboard Holdings Limited,otc
KGDEY,Kingdee International Software Group Company Limited,otc
KGSPF,Kingspan Group plc,otc
KIGRY,KION GROUP AG,otc
KXIAY,Kioxia Holdings Corporation/ADR,sec_only
KNBWF,"Kirin Holdings Company, Limited",otc
KLPEF,Klépierre SA,otc
KNBHF,Knorr-Bremse AG,otc
KOBCY,"Kobe Bussan Co., Ltd.",otc
KOTMF,"Koito Manufacturing Co., Ltd.",otc
KMTUY,Komatsu Ltd.,otc
KONMY,Konami Group Corporation,otc
KNYJF,KONE Oyj,otc
KNCRY,Konecranes Plc,otc
KBGGY,Kongsberg Gruppen ASA/ADR,sec_only
KGBMY,Kongsberg Maritime ASA/ADR,sec_only
KNCAY,"Konica Minolta, Inc.",otc
KKPNF,Koninklijke KPN N.V.,otc
VOPKF,Koninklijke Vopak N.V.,otc
KOSCF,Kose Corporation/ADR,sec_only
KRNTY,Krones AG,otc
KGTFF,Krung Thai Bank Public Company Limited,otc
KTHAF,Krung Thai Bank Public Company Limited,otc
KSHTY,Kuaishou Technology,otc
KUBTF,Kubota Corporation,otc
KHNGF,Kuehne + Nagel International AG,otc
KIROY,Kumba Iron Ore Limited,otc
KUNUF,Kunlun Energy Company Limited,otc
KURRF,"Kuraray Co., Ltd.",otc
KTWIY,Kurita Water Industries Ltd.,otc
KYOCF,KYOCERA CORP,sec_only
KYKOF,"Kyowa Kirin Co., Ltd.",otc
KYSEF,"Kyushu Electric Power Company, Incorporated",otc
LRLCF,L'Oréal S.A.,otc
LCSHY,Lancashire Holdings Limited,otc
LSGOF,Land Securities Group Plc,otc
LGYRF,Landis+Gyr Group AG,otc
LSRCF,Lasertec Corporation/ADR,sec_only
LMED,LataMed AI Corp.,sec_only
LAUCF,Laurentian Bank of Canada,otc
LMPMY,Lee & Man Paper Manufacturing Limited,otc
LGMMY,LEG Immobilien SE,otc
LGGNY,Legal & General Group Plc,otc
LGRVF,Legrand SA,otc
LLESF,Lendlease Group,otc
LNVGF,Lenovo Group Limited,otc
FINMY,Leonardo S.p.a.,otc
LYSFY,Lerøy Seafood Group ASA,otc
LNNGY,Li Ning Company Limited,otc
LILA,Liberty Latin America Ltd.,sec_only
LFABF,Lifco AB (publ),otc
LTGHY,Life Healthcare Group Holdings Limited/ADR,sec_only
LGNYZ,Ligand Pharmaceuticals Incorporated,otc
LIOPY,Lion Corporation,otc
LNFGY,Lion Finance Group PLC/ADR,sec_only
JSGCF,LIXIL Corporation,otc
LBLCF,Loblaw Companies Limited,otc
LNGPF,Longfor Group Holdings Limited,otc
LKHLY,Lonking Holdings Limited,otc
LZAGF,Lonza Group AG,otc
LOTMY,Lottomatica Group S.p.A./ADR,sec_only
LNDMY,Lundin Mining Corporation,otc
LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",otc
YAHOF,LY Corporation,otc
MURGF,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,otc
MTHRF,"M3, Inc.",otc
MBUMF,"Mabuchi Motor Co., Ltd./ADR",sec_only
MMSDF,Macarthur Minerals Limited,otc
MCQEF,Macquarie Group Limited,otc
MLYBY,Malayan Banking Berhad,otc
MAWHY,Man Wah Holdings Limited,otc
MDDTY,Mandatum Oyj/ADR,sec_only
MERVF,Manila Electric Company,otc
MWTCY,"Manila Water Company, Inc.",otc
MNUFF,Manulife Financial Corporation,otc
MNQFF,Manulife Financial Corp,otc
MPFRY,"Mapfre, S.A.",otc
MARZF,Marston's PLC,otc
MAURF,"Marui Group Co., Ltd.",otc
MRUWY,"Maruwa Co., Ltd./ADR",sec_only
MTSEF,"Matsui Securities Co., Ltd.",otc
MZDAF,Mazda Motor Corporation,otc
MCLPF,mCloud Technologies Corp.,otc
MDBKY,Medibank Private Limited,otc
MCVEY,Medicover AB (publ),otc
MDIBF,Mediobanca Banca di Credito Finanziario S.p.A.,otc
MEPDF,MediPal Holdings Corporation,otc
MGAWY,Megaworld Corporation,otc
MEJHF,"Meiji Holdings Co., Ltd.",otc
MDEVF,Melco International Development Limited,otc
MROSY,Melrose Industries Plc/ADR,sec_only
MRCIF,"Mercari, Inc./ADR",sec_only
MKKGY,Merck KGaA,otc
MNZLY,Mercury NZ Ltd./ADR,sec_only
MRBK,Meridian Corporation Common Stock,exchange
MREGY,Meridian Energy Ltd/ADR,sec_only
MPTYY,"MERLIN Properties SOCIMI, S.A.",otc
CBLNY,Mersen S.A.,otc
MSSAF,Metal Sky Star Acquisition Corp,sec_only
MTTWF,Metro AG,otc
METRY,METRO INC./ADR,sec_only
MTPOF,Metropolitan Bank & Trust Company,otc
OUKPF,Metso Oyj,otc
MCHVY,MGM China Holdings Limited,otc
MTGRF,MGX Resources Limited/ADR,sec_only
MPGPF,Michael Page Plc,otc
MGCLY,"Midea Group Co., Ltd./ADR",sec_only
MMTZF,MindMaze Therapeutics Holding SA,sec_only
MINBY,MINEBEA MITSUMI Inc.,sec_only
MALRF,Mineral Resources Limited,otc
MIPCF,Minor International Public Company Limited,otc
MNILY,Minor International Public Company Limited,otc
MNRIF,Minor International Public Company Limited,otc
MNTHF,Minth Group Limited,otc
MPZAF,Mips AB (publ),otc
MSUXF,Misumi Group Inc./ADR,sec_only
MBPFF,Mitchells & Butlers plc,otc
MITFF,Mitie Group plc,otc
MSBHF,Mitsubishi Corporation,otc
MTLHY,Mitsubishi Chemical Group Corporation,otc
MIELY,Mitsubishi Electric Corporation,otc
MITEY,"Mitsubishi Estate Co., Ltd.",otc
MBSHY,"Mitsubishi Gas Chemical Company, Inc./ADR",sec_only
MIUFF,Mitsubishi HC Capital Inc.,otc
MHVIY,"Mitsubishi Heavy Industries, Ltd.",otc
MMTOY,Mitsubishi Motors Corporation,otc
MITSF,"Mitsui & Co., Ltd.",otc
MITUF,Mitsui Chemicals Inc,sec_only
MIESY,"MITSUI E&S Co., Ltd.",otc
MTSFY,"Mitsui Fudosan Co., Ltd.",otc
XZJCF,Mitsui Kinzoku Co Ltd./ADR,sec_only
MSLOF,"Mitsui O.S.K. Lines, Ltd.",otc
MDIKY,"MODEC, Inc.",otc
MOLFF,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,otc
NNAX,New Momentum Corp.,sec_only
MONRF,Moncler S.p.A./ADR,sec_only
MONDY,Mondi plc,otc
MNFYY,"Money Forward, Inc.",otc
MOAEF,Mongolia Energy Corporation Limited,otc
MONOF,"MonotaRO Co., Ltd.",otc
MOHCF,Motor Oil (Hellas) Corinth Refineries S.A.,otc
MNHVF,Mowi ASA,otc
MRPLY,Mr Price Group Limited,otc
MSADY,"MS&AD Insurance Group Holdings, Inc.",otc
MTNOY,MTN GROUP LTD/ADR,sec_only
MTCPY,MTR Corporation Limited,otc
MTUAF,MTU Aero Engines AG,otc
MRAAF,"Murata Manufacturing Co., Ltd./ADR",sec_only
NCTKF,Nabtesco Corporation,otc
NGCRY,NagaCorp Ltd.,otc
NGCOY,"Nagase & Co., Ltd./ADR",sec_only
NWINF,Naked Wines plc,otc
GLCP,,otc
GIGI,,otc
SLROD,,otc
FBRKD,,otc
FPTE,,otc
USIC,,otc
AQIA,,otc
VLAI,,otc
ENAI,,otc
BKMM,,otc
CAGR,,otc
CANL,,otc
CNVT,,otc
CTBK,,otc
DNDT,,otc
GRRP,,otc
JLMC,,otc
LTUC,,otc
RDCO,,otc
SLRD,,otc
SMFL,,otc
ILXPD,,otc
TESTJ,,otc
TKUND,,otc
YOAIF,,otc
NAPD,"NAPC Defense, Inc.",sec_only
NAUBF,National Australia Bank Limited,otc
CWESF,National Bank of Canada,otc
NBCDF,National Bank of Canada,otc
NBKCF,National Bank of Canada,otc
NBGIF,National Bank of Greece S.A.,otc
GASNF,"Naturgy Energy Group, S.A.",otc
NMPGY,Navios Maritime Holdings Inc.,sec_only
NECPY,NEC Corporation,otc
NLLSF,Nel ASA,otc
NEMTF,Nemetschek SE,otc
NTOIF,Neste Oyj,otc
NBSTU,Newbury Street Acquisition Corporation,otc
NEMCL,Newmont Corporation,otc
NEXNY,Nexans S.A.,otc
NEXPF,Nexi S.p.A.,otc
NEXOF,"NEXON Co., Ltd.",otc
NXGPY,NEXT plc,otc
NXFTY,Next 15 Group plc,otc
NHKSY,NHK Spring Co. Ltd/ADR,sec_only
NMKCP,Niagara Mohawk Power Corp,otc
NIABY,NIBE Industrier AB (publ),otc
NCHEF,Nichirei Corporation/ADR,sec_only
NIFCF,Nifco Inc,otc
NHNKY,Nihon Kohden Corporation,otc
NINOF,Nikon Corporation,otc
NDGPF,Nine Dragons Paper (Holdings) Limited,otc
NTDOF,"Nintendo Co., Ltd.",otc
NPEGF,"Nippon Electric Glass Co., Ltd.",otc
NEXHY,"Nippon Express Holdings, Inc./ADR",sec_only
NPKYF,"Nippon Kayaku Co., Ltd.",otc
NPCPF,"Nippon Paint Holdings Co., Ltd.",otc
NPXYY,Nippon Sanso Holdings Corporation,otc
NPSGY,"Nippon Sheet Glass Company, Limited",otc
NPPNY,"Nippon Shinyaku Co., Ltd.",otc
NISTF,Nippon Steel Corporation,otc
NYUKF,Nippon Yusen Kabushiki Kaisha,otc
NNCHF,Nissan Chemical Corporation,otc
NSANY,"Nissan Motor Co., Ltd.",otc
NSNFY,"Nissin Foods Holdings Co., Ltd./ADR",sec_only
NISUF,Nissui Corporation,otc
NGKSF,"Niterra Co., Ltd.",otc
NDEKF,NITTO DENKO CORP / ADR/,sec_only
NRKBY,NKT A/S,otc
NNGRY,NN Group N.V.,otc
NKRKF,Nokian Renkaat Oyj,otc
NMUCF,"NOMURA Co., Ltd.",otc
NURAF,"Nomura Research Institute, Ltd.",otc
NRXXY,Nordex SE,otc
NRSDY,Nordic Semiconductor ASA,otc
NWCYY,North West Co Inc./ADR,sec_only
NCL,Northann Corp.,sec_only
NPICF,Northland Power Inc,otc
NPIXY,Northland Power Inc./ADR,sec_only
NVZMY,Novozymes A/S,otc
NPSKY,NSK Ltd.,otc
OBICY,"OBIC Co., Ltd./ADR",sec_only
OBBCY,"OBIC Business Consultants Co., Ltd./ADR",sec_only
OERLF,OC Oerlikon Corporation AG,otc
OCDDY,Ocado Group plc,otc
ODKUY,"Odakyu Electric Railway Co., Ltd./ADR",sec_only
ORXXF,OFX Group Limited,otc
OIBRQ,Oi S.A.,otc
OJIPY,Oji Holdings Corporation,otc
OKIEF,"Oki Electric Industry Co., Ltd.",otc
OCPNF,Olympus Corporation,otc
OMRNF,OMRON Corporation,otc
OPHLY,"Ono Pharmaceutical Co., Ltd.",otc
ONXXF,Ontex Group NV,otc
OTRQQ,"Ontrak, Inc.",otc
OPNHY,Open House Group Co. Ltd/ADR,sec_only
MXCHY,"Orbia Advance Corporation, S.A.B. de C.V.",otc
ORCRY,Organo Corporation/ADR,sec_only
OCLDY,Orica Limited,otc
OROVF,Orient Overseas (International) Limited,otc
OLCLY,"Oriental Land Co., Ltd.",otc
OGFGF,Origin Energy Limited,otc
ORINF,Orion Oyj,otc
ORKLY,Orkla ASA,otc
ORLNY,Orlen S.A.,otc
ORRYY,Orora Limited,otc
OSGSY,"Osaka Gas Co., Ltd.",otc
OTPGF,OTP Bank Nyrt.,otc
OTSKF,"Otsuka Holdings Co., Ltd.",otc
OSUKF,Otsuka Corporation,otc
OUTFF,Outokumpu Oyj,otc
OVCHF,Oversea-Chinese Banking Corporation Limited,otc
OVHGY,OVH Groupe S.A.,otc
OXFYY,Oxford Nanopore Technologies plc,otc
BKFKF,P/F Bakkafrost,otc
PCFBF,Pacific Basin Shipping Limited,otc
PTAXY,Paltac Corporation/ADR,sec_only
PCRHY,Panasonic Holdings Corporation,otc
PNDRY,Pandora A/S / ADR,sec_only
PRMRY,Paramount Resources Ltd.,otc
PAEXY,Parex Resources Inc./ADR,sec_only
PKCOY,"PARK24 Co., Ltd.",otc
PVLUF,Partners Value Investments LP,otc
PVILF,Partners Value Investments LP,otc
NVTQF,Patterson Metals Corp.,otc
PCPGY,PC Partner Group Ltd/ADR,sec_only
PCWLF,PCCW Limited,otc
PPLAF,Pembina Pipeline Corporation,otc
PPLOF,Pembina Pipeline Corporation,otc
PEGRF,Pennon Group Plc,otc
PINXF,People's Insurance Co (Group) of China Limited/ADR,sec_only
ILPMF,Permanent TSB Group Holdings plc,otc
PRNDY,Pernod Ricard SA,otc
POFCF,Petrofac Limited,otc
PHGPY,Pets at Home Group Plc,otc
PEYUF,Peyto Exploration & Development Corp.,otc
PGPKY,PGE Polska Grupa Energetyczna S.A.,otc
PIAGF,Piaggio & C. SpA,otc
PIGEF,Pigeon Corporation,otc
PIAHY,Ping An Healthcare and Technology Company Limited,otc
PIAIF,"Ping An Insurance (Group) Company of China, Ltd.",otc
PRLLY,Pirelli & C. S.p.A.,otc
POPMF,Pop Mart International Group Limited,otc
POAHF,Porsche Automobil Holding SE / ADR,sec_only
PTAUY,Port of Tauranga Limited,otc
PSTVY,"Postal Savings Bank of China Co., Ltd.",otc
PSTEY,Poste Italiane S.p.A./ADR,sec_only
PNPNF,POWER METALLIC MINES INC.,sec_only
PSZKF,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,otc
PWZYF,Powszechny Zaklad Ubezpieczen SA,otc
PRDSF,Prada S.p.A.,otc
PRSKY,PrairieSky Royalty Ltd/ADR,sec_only
PFODF,Premier Foods plc,otc
PRBRY,PREMIUM BRANDS HOLDINGS Corp,sec_only
PDNLA,Presidential Realty Corporation,otc
PMDIY,Pro Medicus Limited,otc
PUODY,"Promotora y Operadora de Infraestructura, S. A. B. de C. V.",otc
PYYIF,"Promotora y Operadora de Infraestructura, S. A. B. de C. V.",otc
PROSY,Prosus N.V.,otc
PSKRF,Protector Forsikring/ADR,sec_only
BGAOY,Proximus PLC,otc
PRYMF,Prysmian S.p.A.,sec_only
PSPSY,PSP Swiss Property AG,otc
PHDWY,PT Aspirasi Hidup Indonesia Tbk,otc
PTABF,PT Astra Agro Lestari Tbk,otc
PTAIY,PT Astra International Tbk,otc
PBCRF,PT Bank Central Asia Tbk,otc
PPERY,PT Bank Mandiri (Persero) Tbk,otc
PBNNF,PT Bank Negara Indonesia (Persero) Tbk/ADR,sec_only
BKRKF,PT Bank Rakyat Indonesia (Persero) Tbk,otc
PBMRF,PT Bumi Resources Tbk,otc
PTCAY,PT Chandra Asri Pacific Tbk,otc
GGTKY,PT GoTo Gojek Tokopedia Tbk/ADR,sec_only
ITAYY,PT Indo Tambangraya Megah Tbk,otc
PITPY,PT Indocement Tunggal Prakarsa Tbk,otc
PNDFF,PT Indofood CBP Sukses Makmur Tbk,otc
PTKFF,PT Kalbe Farma Tbk.,otc
PPAAF,PT Perusahaan Gas Negara (Persero) Tbk,otc
PPLFF,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,otc
PSGTY,PT Semen Indonesia (Persero) Tbk,otc
PSBTY,PT Sumber Alfaria Trijaya Tbk/ADR,sec_only
PTWRY,PT Tower Bersama Infrastructure Tbk/ADR,sec_only
UNLRY,PT Unilever Indonesia Tbk,otc
PUTKY,PT United Tractors Tbk,otc
PTNDF,PT Vale Indonesia Tbk,otc
PTXLF,PTT Exploration and Production Public Company Limited,otc
PEXUF,PTT Exploration and Production Public Company Limited,otc
PCHUY,PTT Global Chemical Public Company Limited,otc
PGCPF,PTT Global Chemical Public Company Limited,otc
PETFF,PTT Public Company Limited,otc
PUGBY,Puig Brands S.A./ADR,sec_only
PUMSY,PUMA SE,otc
PGCMF,"Puregold Price Club, Inc.",otc
PTCHF,PureTech Health plc,sec_only
QABSY,Qantas Airways Limited,otc
QBEIF,QBE Insurance Group Limited,otc
QNTQY,QinetiQ Group plc,otc
NPACF,Quadient S.A.,otc
QBBHY,Qube Holdings Limited,otc
QBCRF,Quebecor Inc.,otc
REMYY,Rémy Cointreau SA,otc
RAIFF,Raiffeisen Bank International AG,otc
RKUNF,"Rakuten Group, Inc.",otc
RANJF,Randstad N.V.,otc
RATIY,RATIONAL Aktiengesellschaft,otc
RPGRF,REA Group Limited/ADR,sec_only
RICFY,Recordati Industria Chimica e Farmaceutica S.p.A.,otc
RCRRF,"Recruit Holdings Co., Ltd.",otc
SHPPF,Redcare Pharmacy NV,otc
RFFDU,"Redfield Energy, LLC",otc
RECCY,Reece Limited/ADR,sec_only
RGRSY,Regis Resources Limited,otc
RTMNF,Reitmans (Canada) Limited,otc
RNSDF,Renault SA,otc
RNECF,Renesas Electronics Corporation,otc
RKGRY,RENK Group AG/ADR,sec_only
RMGGF,Resolute Mining Limited,otc
RML,Resolution Minerals Ltd,sec_only
RSHGY,RESONA HOLDINGS INC,sec_only
SHWDF,Resonac Holdings Corporation,otc
QSP,Restaurant Brands International Limited Partnership,sec_only
RXEEY,Rexel S.A.,otc
RNMBY,Rheinmetall AG,otc
RHHMY,RHI Magnesita N.V.,otc
RICOY,"Ricoh Company, Ltd.",otc
RDGA,RIDGEFIELD ACQUISITION CORP,sec_only
RGKUY,Rigaku Holdings Corporation/ADR,sec_only
RMVEY,Rightmove PLC/ADR,sec_only
RTNTF,RIO TINTO LTD,sec_only
RMXI,"RMX INDUSTRIES, INC.",sec_only
RBLAF,Robinsons Land Corporation,otc
RCWLY,Rockwool A/S,otc
RKWBF,Rockwool A/S,otc
RCWBY,Rockwool A/S/ADR,sec_only
ROHCY,"ROHM Co., Ltd.",otc
RYCEF,Rolls-Royce Holdings plc,otc
RLLCF,Rolls-Royce Holdings plc,otc
ROYUF,Royal Unibrew A/S,otc
DNNGY,Ørsted A/S,otc
RGLXY,RTL Group S.A.,otc
RUBSF,Rubis,otc
RWNFF,RWE Aktiengesellschaft,otc
RHCGF,Ryman Healthcare Limited,otc
RYKKF,Ryohin Keikaku Co/ADR,sec_only
SUEZY,Südzucker AG,otc
SAABY,Saab AB (publ),otc
SAFLF,Safilo Group S.p.A.,otc
SAFRY,Safran SA,otc
SGGEF,The Sage Group plc,otc
SAPMY,Saipem SpA,otc
SALRF,SalMar ASA,otc
SFRGF,Salvatore Ferragamo S.p.A.,otc
SZGPY,Salzgitter AG,otc
SAXPF,Sampo OYJ,sec_only
SNBOY,SanBio Company Limited,otc
SNDFY,Sandfire Resources Limited,otc
SCHYY,Sands China Ltd.,otc
SDVKF,Sandvik AB (publ),otc
SARDF,Sanford Limited,otc
SNYNF,Sanofi,otc
SNROY,"Sanrio Company, Ltd./ADR",sec_only
STNDF,Santander UK plc,sec_only
SNPHF,"Santen Pharmaceutical Co., Ltd.",otc
SSLZY,Santos Limited,otc
SAPGF,SAP SE,otc
SAPUY,Saputo Inc./ADR,sec_only
SSSGY,Sartorius Aktiengesellschaft,otc
SARTF,Sartorius Aktiengesellschaft,otc
SDMHF,Sartorius Stedim Biotech S.A./ADR,sec_only
SPASF,SATS Ltd.,otc
SCGX,SAXON CAPITAL GROUP INC,sec_only
SBFFF,SBM Offshore N.V.,otc
SBOEF,SBO AG/ADR,sec_only
STBGY,Scandinavian Tobacco Group A/S,otc
SCAFF,Schaeffler AG/ADR,sec_only
SHNDY,Schindler Holding AG,otc
SHLRF,Schindler Holding AG/ADR,sec_only
SBGSY,Schneider Electric S.E.,otc
SZCRF,SCOR SE,otc
SCOTF,Scout24 SE,otc
SCRNY,"SCREEN Holdings Co., Ltd./ADR",sec_only
SMBMY,Seatrium Limited,otc
SEBYF,SEB SA,otc
SOMLY,"SECOM CO., LTD.",otc
SCTBY,Securitas AB (publ),otc
SKLTF,Seek Ltd,sec_only
SGAMF,Sega Sammy Holdings Inc.,otc
SKSUF,"Sekisui Chemical Co., Ltd.",otc
SMNR,"Semnur Pharmaceuticals, Inc.",sec_only
SEIGF,Semperit Aktiengesellschaft Holding,otc
SECCF,Serco Group plc,otc
SEBNF,"Seven Bank, Ltd.",otc
SVNDF,SEVEN & I HOLDINGS CO LTD,sec_only
SVTRF,Severn Trent PLC,otc
SGHDY,"SG Holdings Co.,Ltd.",otc
SGSOY,SGS SA,otc
SHWGY,Shandong Weigao Group Medical Polymer Company Limited,otc
SIELF,"Shanghai Electric Group Co., Ltd.",otc
SFDMY,Shanghai Fudan Microelectronics Co Limited/ADR/,sec_only
SHCAY,Sharp Corporation,otc
SIHBY,Shenzhen Investment Holdings Bay Area Development Company Limited,otc
TSHMY,"Shibaura Machine Co.,Ltd.",otc
SHMXY,Shimadzu Corporation/ADR,sec_only
SHMDF,Shimano Inc.,otc
SIOPF,Shimao Group Holdings Limited,otc
SHMUF,Shimizu Corporation,otc
SHECF,"Shin-Etsu Chemical Co., Ltd.",sec_only
SGIOF,SHIONOGI & CO LTD,sec_only
SSDOF,"Shiseido Company, Limited",otc
SOLLY,Shui On Land Limited,otc
SEGSY,SIA Engineering Company Limited,otc
SCVUF,The Siam Cement Public Company Limited,otc
SCVPF,The Siam Cement Public Company Limited,otc
SDCH,"SideChannel, Inc.",sec_only
SMAWF,Siemens Aktiengesellschaft,otc
SEMHF,Siemens Healthineers AG,otc
SSRLY,Sienna Senior Living Inc./ADR,sec_only
SCBGF,SIG Group AG,otc
SIIGF,SIG plc,otc
SFFYF,Signify N.V.,otc
SXYAY,Sika AG,otc
SSLLF,Siltronic AG,otc
PONIF,Silver Pony Resources Corp.,otc
SMSMY,Sims Limited,otc
SINGY,Singapore Airlines Limited,otc
UILCF,Singapore Land Group Limited,otc
SPSTF,Singapore Post Limited,otc
SGGKY,Singapore Technologies Engineering Ltd,otc
SGAPY,Singapore Telecommunications Limited,otc
SGTSF,Singulus Technologies AG,otc
SBMFF,Sino Biopharmaceutical Limited/ADR,sec_only
SNLAY,Sino Land Company Limited,otc
SIOLY,Sino-Ocean Group Holding Limited,otc
SHTDY,Sinopharm Group Co. Ltd.,otc
SHKLF,Sinotruk (Hong Kong) Limited,otc
SITIF,SITC International Holdings Company Limited,otc
SJMHY,SJM Holdings Limited,otc
SKSBF,Skanska AB (publ),otc
SKPJF,SKY Perfect JSAT Holdings Inc,sec_only
SLHPF,Skylight Health Group Inc.,otc
SKTG,SKYTECH ORION GLOBAL CORP.,sec_only
SKTPP,Skytop Lodge Corporation,otc
SWDHY,Skyworth Group Limited,otc
SMPHY,SM Prime Holdings Inc./ADR,sec_only
SMTGF,SMA Solar Technology AG,otc
SMCAY,SMC Corporation,otc
SMGKF,Smiths Group plc,otc
SMORF,Smoore International Holdings Limited,otc
SMSZF,"SMS Co., Ltd.",otc
SNMRY,Snam S.p.A.,otc
BICEF,Société BIC SA,otc
SDXOF,Sodexo S.A.,otc
SFBQF,SoftBank Corp.,otc
SOBKY,SoftBank Corp.,otc
SFTBF,SOFTBANK GROUP CORP.,sec_only
SLOIF,Soitec SA,sec_only
SZHFY,Sojitz Corporation,otc
SMPNY,"Sompo Holdings, Inc.",otc
SKHHY,Sonic Healthcare Limited,otc
SONVF,Sonova Holding AG,otc
SFGYY,Sony Financial Group Inc./ADR,sec_only
SPPSY,Sopra Steria Group SA,otc
SOHOB,Sotherly Hotels Inc.,otc
SHTLF,South32 Limited,otc
SGPPF,The SPAR Group Ltd,otc
SGRP,"SPAR Group, Inc.",sec_only
NZTCF,Spark New Zealand Limited,otc
SPIIY,SPIE SA/ADR,sec_only
SQNXF,"Square Enix Holdings Co., Ltd.",otc
SSABF,SSAB AB (publ),otc
SSAAF,SSAB AB (publ),otc
SSEZF,SSE plc,otc
SCBFY,Standard Chartered PLC,otc
SLFPY,STANDARD LIFE PLC,sec_only
STAEF,"Stanley Electric Co., Ltd.",otc
SLNLF,Stella International Holdings Limited,otc
STJNY,Stella-Jones Inc./ADR,sec_only
OERCF,Österreichische Post AG,otc
SVICY,StorageVault Canada Inc./ADR,sec_only
SOTDF,Ströer SE & Co. KGaA,otc
SAUHY,Straumann Holding AG,otc
FUJHF,Subaru Corporation,otc
ACGYF,Subsea 7 S.A.,otc
SGIHY,"Sugi Holdings Co., Ltd./ADR",sec_only
SUOPY,Sumco Corporation,otc
SSUMF,Sumitomo Corporation,otc
SBCLY,Sumitomo Bakelite Co Limited/ADR,sec_only
SOMMY,"Sumitomo Chemical Company, Limited",otc
SMTOY,SUMITOMO ELECTRIC INDUSTRIES LTD/ADR/,sec_only
SMFSY,"Sumitomo Forestry Co., Ltd./ADR",sec_only
SOHVF,"Sumitomo Heavy Industries, Ltd.",otc
STMNF,"Sumitomo Metal Mining Co., Ltd.",otc
SMDPY,"Sumitomo Pharma Co., Ltd.",otc
SURDF,"Sumitomo Realty & Development Co., Ltd./ADR",sec_only
SHGKY,Sun Hung Kai & Co. Limited,otc
SUNFF,Sun Life Financial Inc.,otc
SSHLY,Sunac Services Holdings Limited,otc
SNMYF,Suncorp Group Limited,otc
SNPTF,Sunny Optical Technology (Group) Company Limited,otc
STBFF,Suntory Beverage & Food Limited,otc
SUUIF,Superior Plus Corp.,otc
SRGBF,SURUGA BANK LTD/ADR/,sec_only
SZKMY,Suzuki Motor Corporation,otc
SVCBF,Svenska Cellulosa Aktiebolaget SCA (publ),otc
SVNLF,Svenska Handelsbanken AB (publ),otc
SWGAF,The Swatch Group AG,otc
SWGNF,The Swatch Group AG,otc
SWDBY,Swedbank AB (publ),otc
BIOVF,Swedish Orphan Biovitrum AB (publ),otc
SWRAF,Swire Pacific Limited,otc
