ticker,company,listing
BJWTF,Beijing Enterprises Water Group Limited,otc
BEKSF,NV Bekaert SA,otc
BLMOY,BELIMO Holding AG/ADR,sec_only
BVGLY,Bellevue Gold Ltd./ADR,sec_only
BLWYY,Bellway p.l.c.,otc
BKGFY,The Berkeley Group Holdings plc,otc
BRK-B,BERKSHIRE HATHAWAY INC,sec_only
BTSNY,Betsson AB (publ),otc
BZQIF,Bezeq The Israel Telecommunication Corp. Ltd,otc
BCCOY,BICO Group AB (publ),otc
BFLBY,Bilfinger SE,otc
BLRDY,Billerud AB (publ),otc
BGLAF,BioGaia AB (publ),otc
BMXMF,bioMérieux S.A.,otc
BIREY,Birchcliff Energy Ltd./ADR,sec_only
OBDC,Blue Owl Capital Corporation Common Stock,exchange
BLUVF,BlueRiver Acquisition Corp.,otc
BLSFY,BlueScope Steel Limited,otc
BNKHF,BOC Hong Kong (Holdings) Limited,otc
BLIDF,Boliden AB (publ),otc
BDRBF,Bombardier Inc.,otc
BDRPF,Bombardier Inc.,otc
BDRXF,Bombardier Inc.,otc
BHOOY,boohoo group plc,otc
BZTAF,Boozt AB (publ),otc
BRRDF,Borregaard ASA,otc
BSDGF,Bosideng International Holdings Limited,otc
TEUCF,Box Ships Inc.,otc
BPERF,BPER Banca SpA,otc
BPOSY,bpost NV/SA,otc
BXBLY,Brambles Limited,otc
BRCC,BRC Inc. Class A Common Stock,exchange
BNTGY,Brenntag SE,otc
BVILY,Breville Group Limited,otc
BRDCY,Bridgestone Corporation,otc
BAMKF,Brookfield Corporation,otc
BKAMF,Brookfield Corporation,otc
BKFOF,Brookfield Corporation,otc
BKFPF,Brookfield Corporation,otc
BRCFF,Brookfield Corporation,otc
BRPSF,Brookfield Corporation,otc
BRTHY,"Brother Industries, Ltd.",otc
BF-B,BROWN FORMAN CORP,sec_only
BCUCF,Brunello Cucinelli S.p.A./ADR,sec_only
BTSGY,BTS Group Holdings Public Company Limited,otc
BDWBY,Budweiser Brewing Company APAC Limited,otc
BUHPY,Bumrungrad Hospital Public Co Limited/ADR,sec_only
BURBY,Burberry Group plc,otc
BVRDF,Bureau Veritas SA,otc
BZZUY,Buzzi S.p.A.,otc
BWOFY,BW Offshore Limited,otc
BYDDF,BYD CO LTD,sec_only
BYDIF,BYD Electronic (International) Co Ltd,sec_only
BYNO,byNordic Acquisition Corp,sec_only
CCGPY,C&C Group plc,otc
CTSUF,Cactus Acquisition Corp. 1 Limited,otc
CNHHY,Cairn Homes plc,otc
CLBEY,"Calbee, Inc.",otc
CDNAF,"Canadian Tire Corporation, Limited",otc
CAJPY,CANON INC,sec_only
CCOEF,"Capcom Co., Ltd.",otc
CAPMF,Capgemini SE,otc
CTAGF,Capita plc,otc
CPRHF,Capital Power Corp,otc
CPWPF,Capital Power Corp,otc
CPXXY,Capital Power Corp/ADR,sec_only
CKHGF,Capitec Limited/ADR,sec_only
CRNZF,Capricorn Energy PLC,otc
CSCCY,Capstone Copper Corp./ADR,sec_only
CRSLF,CAR Group Limited,otc
CZMWF,Carl Zeiss Meditec AG,otc
CABJF,Carlsberg A/S,otc
CABGY,Carlsberg A/S,otc
CRERF,Carrefour SA,otc
RENEF,Cartesian Growth Corp II,sec_only
CSIOF,"Casio Computer Co.,Ltd.",otc
CWQXF,Castellum AB (publ),otc
CPCAF,Cathay Pacific Airways Limited,otc
CCDBF,CCL Industries Inc.,otc
OTGLF,CD Projekt S.A.,otc
CEBUF,"Cebu Air, Inc.",otc
MTTRY,Ceconomy AG,otc
CVLLY,CellaVision AB (publ),otc
CLNXF,"Cellnex Telecom, S.A.",otc
CJPRF,Central Japan Railway Company,otc
CPPBY,Central Pattana Public Co Limited/ADR,sec_only
CPYYY,Centrica plc,otc
CRPHY,Ceres Power Holdings plc,otc
CHPFF,Charoen Pokphand Foods Public Company Limited,otc
CMGMF,Chemring Group PLC/ADR,sec_only
CSSPQ,"Chicken Soup for the Soul Entertainment, Inc.",otc
CHBJF,China CITIC Bank Corporation Limited,otc
CUCSF,China Communications Services Corporation Limited,otc
CICHF,China Construction Bank Corporation,otc
CEVIY,China Everbright Limited,otc
CHFFY,China Everbright Environment Group Limited,otc
CHFLF,China Feihe Limited,otc
CHNFF,China Foods Limited,otc
CFOO,China Foods Holdings Ltd.,sec_only
CGXYF,"China Galaxy Securities Co., Ltd.",otc
CHSTY,"China High Speed Transmission Equipment Group Co., Ltd.",otc
CHHQF,China Hongqiao Group Limited,otc
CILJF,CHINA LIFE INSURANCE CO LTD,sec_only
CHLLF,China Literature Limited,otc
CLPXF,China Longyuan Power Group Corporation Limited,otc
CIADF,China Mengniu Dairy Company Limited,otc
CIHHF,"China Merchants Bank Co., Ltd.",otc
CMHHY,China Merchants Port Holdings Company Limited,otc
CGMBF,"China Minsheng Banking Corp., Ltd.",otc
CBUMY,China National Building Material Company Limited,otc
CAOVF,China Overseas Land & Investment Limited,otc
CRYCY,China Railway Signal & Communication Corporation Limited,otc
CRHKY,China Resources Beer (Holdings) Company Limited,otc
CGASY,China Resources Gas Group Limited,otc
CRBJF,China Resources Land Limited,otc
CSUAY,China Shenhua Energy Company Limited,otc
CSWYY,China Shineway Pharmaceutical Group Limited,otc
CTIHY,China Taiping Insurance Holdings Company Limited,otc
CHWRF,China Tower Corp Limited/ADR,sec_only
CHVKY,"China Vanke Co., Ltd.",otc
CHYCF,Chiyoda Corporation,otc
CHYOF,"Chiyoda Co., Ltd.",otc
COGQF,"Chongqing Rural Commercial Bank Co., Ltd.",otc
CHRYY,Chorus Limited,otc
CJEWY,Chow Tai Fook Jewellery Group Limited,otc
CHDRF,Christian Dior SE,otc
CHGCY,"Chugai Pharmaceutical Co., Ltd.",otc
CGKEY,"The Chugoku Electric Power Co., Inc.",otc
CTPCY,CITIC Limited,otc
CTJHY,CITIC Resources Holdings Limited,otc
CDEVY,City Developments Limited,otc
CKHUY,CK Hutchison Holdings Limited,otc
CLZNF,Clariant AG,otc
CKNHF,Clarkson PLC,otc
CCKRF,Clicks Group Limited,otc
CBGPY,Close Brothers Group plc,otc
CLPHF,CLP Holdings Limited,otc
CCOJY,Coca-Cola Bottlers Japan Holdings Inc.,otc
CCHGY,Coca-Cola HBC AG,otc
CHEOF,Cochlear Limited,otc
COFAF,COFACE SA,otc
CLPBF,Coloplast A/S,otc
CDGLF,ComfortDelGro Corp Ltd,sec_only
CRZBF,Commerzbank AG,otc
CMWAY,Commonwealth Bank of Australia,otc
CFRUY,Compagnie Financière Richemont SA,otc
MGDDF,Compagnie Générale des Établissements Michelin Société en commandite par actions,otc
CMSQY,Computershare Limited,otc
COMSP,COMSovereign Holding Corp.,otc
CDTHY,CONDUIT HOLDINGS LTD/ADR,sec_only
CNSWF,Constellation Software Inc.,otc
CYATY,"Contemporary Amperex Technology Co., Limited/ADR",sec_only
