ticker,company,price,marketCap,exchange,quoteType
IVSBF,Investor AB (publ),44.58,136572174336.0,PNK,EQUITY
NEMCL,Newmont Corporation,128.0,134872612864.0,PNK,EQUITY
UNLYF,Unilever PLC,62.0,133502394368.0,PNK,EQUITY
IVSXF,Investor AB (publ),43.5,133263556608.0,PNK,EQUITY
PNGAY,"Ping An Insurance (Group) Company of China, Ltd.",14.52,131461480448.0,PNK,EQUITY
ZIJMF,Zijin Mining Group Company Limited,4.85,128964960256.0,PNK,EQUITY
ZIJMY,Zijin Mining Group Company Limited,95.5,126970667008.0,PNK,EQUITY
AIQUF,L'Air Liquide S.A.,198.5,126339301376.0,PNK,EQUITY
MZHOF,"Mizuho Financial Group, Inc.",51.9,126100865024.0,PNK,EQUITY
KYCCF,Keyence Corporation,515.0,124900442112.0,PNK,EQUITY
CSUAY,China Shenhua Energy Company Limited,23.0,124714246144.0,PNK,EQUITY
AIQUY,L'Air Liquide S.A.,39.15,124588998656.0,PNK,EQUITY
BTAFF,British American Tobacco p.l.c.,57.5,123866578944.0,PNK,EQUITY
GPMXY,"Grupo México, S.A.B. de C.V.",29.9,116385751040.0,PNK,EQUITY
BPAQF,BP p.l.c.,7.5,115890405376.0,PNK,EQUITY
PIAIF,"Ping An Insurance (Group) Company of China, Ltd.",6.36,115164602368.0,PNK,EQUITY
OVCHY,Oversea-Chinese Banking Corporation Limited,49.7,111589703680.0,PNK,EQUITY
GMBXF,"Grupo México, S.A.B. de C.V.",14.32,111481200640.0,PNK,EQUITY
ENLAY,Enel SpA,11.12,110317780992.0,PNK,EQUITY
ESOCF,Enel SpA,11.11,110218567680.0,PNK,EQUITY
MTSUY,Mitsubishi Corporation,30.05,110028029952.0,PNK,EQUITY
BYDDF,BYD Company Limited,11.97,109132857344.0,PNK,EQUITY
MSBHF,Mitsubishi Corporation,29.8,109112655872.0,PNK,EQUITY
BYDDY,BYD Company Limited,11.9,108494643200.0,PNK,EQUITY
SNYNF,Sanofi,90.01,107838169088.0,PNK,EQUITY
HNHPF,"Hon Hai Precision Industry Co., Ltd.",15.3,107296473088.0,PNK,EQUITY
CAIXY,"CaixaBank, S.A.",5.08,105998155776.0,PNK,EQUITY
ATLKY,Atlas Copco AB (publ),21.64,105573351424.0,PNK,EQUITY
GLAXF,GSK plc,25.3,101341962240.0,PNK,EQUITY
CIXPF,"CaixaBank, S.A.",14.55,101097832448.0,PNK,EQUITY
AAIGF,AIA Group Limited,9.75,100455612416.0,PNK,EQUITY
SBKFF,State Bank of India,107.39,99127599104.0,PNK,EQUITY
STOHF,Equinor ASA,41.7,98969362432.0,PNK,EQUITY
INGVF,ING Groep N.V.,34.5,98422931456.0,PNK,EQUITY
EBBNF,Enbridge Inc.,24.98,,PNK,EQUITY
AAGIY,AIA Group Limited,37.9,97622253568.0,PNK,EQUITY
GLNCY,Glencore plc,16.495,96799023104.0,PNK,EQUITY
DLEGF,Delta Electronics (Thailand) Public Company Limited,8.0,100448485376.0,PNK,EQUITY
MGCLY,"Midea Group Co., Ltd.",12.57,95893987328.0,PNK,EQUITY
GLCNF,Glencore plc,8.17,95889416192.0,PNK,EQUITY
PROSF,Prosus N.V.,45.0,94312882176.0,PNK,EQUITY
TKOMF,"Tokio Marine Holdings, Inc.",49.2,93468631040.0,PNK,EQUITY
CILJF,China Life Insurance Company Limited,3.3,93273522176.0,PNK,EQUITY
ITOCY,ITOCHU Corporation,13.31,93035741184.0,PNK,EQUITY
ITOCF,ITOCHU Corporation,13.3,92965838848.0,PNK,EQUITY
PROSY,Prosus N.V.,8.86,92845793280.0,PNK,EQUITY
ATLPF,Atlas Copco AB (publ),19.0,92693790720.0,PNK,EQUITY
LLDTF,Lloyds Banking Group plc,1.6,92691357696.0,PNK,EQUITY
XIACY,Xiaomi Corporation,17.82,91725955072.0,PNK,EQUITY
ATLCY,Atlas Copco AB (publ),18.79,91669282816.0,PNK,EQUITY
XIACF,Xiaomi Corporation,3.56,91623006208.0,PNK,EQUITY
TKOMY,"Tokio Marine Holdings, Inc.",47.85,90903937024.0,PNK,EQUITY
