ticker,name,tier,score_v1,need,src,mktcap,revenue,rev_growth,gross_margin,op_margin,fcf,ocf,cash,debt,shares,employees,country,summary,gate_funding,d_inhibition_proxy,capital_per_revenue,rev_per_employee,net_cash
DLEGF,Delta Thailand,t2,78,Energy · Power,DELTA.BK,3068558835712.0,238129168384.0,0.474,0.29038,0.09873,6131665920.0,30685278208.0,18196889600.0,4281541120.0,12473816140.0,,Thailand,"Delta Electronics (Thailand) Public Company Limited, together with its subsidiaries, researches and develops, manufactures, and distributes electronic products. The company operates through four segments: Power Electronics, Mobility, Infrastructure, and Automation. It offers inductors, RF inductors, transformers, networking products, EMI filters, solenoids, current sensing resistors, and power modules; power and system products, such as USB socket outlets, medical power, industrial power supplies, industrial battery charging, high voltage power, embedded power, and adapters; DC brushless fans and blowers, motors, thermal management products, cabinet thermal solutions, indoor air quality solu",self-funding (FCF positive),profitable and self-funding at current scale,12.89,,13915348480.0
MBRFF,Mo-BRUK,t2,78,Circular · Waste,MBR.WA,1357730048.0,339327904.0,0.326,0.81452006,0.2881,107180064.0,69422344.0,29833928.0,164118912.0,3512885.0,314.0,Poland,"Mo-BRUK S.A. engages in the incineration of hazardous waste, including medical and industrial waste in Poland and internationally. The company is also involved in the stabilization and solidification of hazardous and non-hazardous inorganic waste; and production of alternative fuel from sorted municipal and industrial waste, used by cement plants, metal recycling, and waste storage. Mo-BRUK S.A. was founded in 1985 and is headquartered in Korzenna, Poland.",self-funding (FCF positive),profitable and self-funding at current scale,4.0,1080662.0,-134284984.0
ENGCF,engcon,t2,77,Construction · Equip,ENGCON-B.ST,10150727680.0,2044999936.0,0.121,0.39609,0.17003,188750000.0,287000000.0,70000000.0,202000000.0,116840049.0,450.0,Sweden,"engcon AB (publ) engages in the design, production, and sale of excavator tools in Sweden, Denmark, Norway, Finland, rest of Europe, North and South America, Japan, South Korea, Australia, New Zealand, and internationally. The company offers control systems; track and wheel control products; DC2, a proportional control system with remote support; MIG2, an integrated hand support joystick; EC-Oil, an automatic hydraulic coupling; positioning systems; locking systems; Q-Safe Light Module, a control system of warning light and sound modules; and attachment brackets. It also provides hydraulic tools, such as detachable grippers and sweepers, stone and sorting grabs, timber and combi grabs, grapp",self-funding (FCF positive),profitable and self-funding at current scale,4.96,4544444.0,-132000000.0
CRMD,CorMedix,t2,77,Health · Prevention,CRMD,647717312.0,462248992.0,1.565,0.90212,0.42097,178142656.0,253936992.0,256692000.0,147455008.0,77944324.0,191.0,United States,"CorMedix Inc., a biopharmaceutical company, focuses on developing and commercializing therapeutic products for life-threatening diseases and conditions in the United States. Its lead product candidate is DefenCath, an antimicrobial catheter lock solution to reduce the incidence of catheter-related bloodstream infections in adult patients with kidney failure. CorMedix Inc. was formerly known as Picton Holding Company, Inc. and changed its name to CorMedix, Inc. in January 2007. The company was incorporated in 2006 and is based in Parsippany, New Jersey.",self-funding (FCF positive),profitable and self-funding at current scale,1.4,2420151.0,109236992.0
DAR,Darling,t2,76,Food · Circular,DAR,9687520256.0,6548663808.0,0.164,0.26333,0.12892,219643008.0,1351406976.0,163742000.0,4171198976.0,157802916.0,15000.0,United States,"Darling Ingredients Inc. develops, produces, and sells sustainable natural ingredients from edible and inedible bio-nutrients in North America, Europe, China, South America, and internationally. The Feed Ingredients segment collects and processes animal by-products into non-food grade oils and protein meals; bakery residuals into cookie meal used in poultry and swine rations; used cooking oil into non-food grade fats; and porcine and bovine blood into blood plasma powder and hemoglobin. This segment is also involved in the processing of selected portions of slaughtered animals into pet food, as well as of cattle hides and hog skins; production of organic fertilizers; rearing and processing o",self-funding (FCF positive),profitable and self-funding at current scale,1.48,436577.0,-4007456976.0
BMBRF,BIM,t2,74,Food · Retail,BIMAS.IS,493877362688.0,761454526464.0,0.096,0.18993999,0.02794,17150681088.0,49356275712.0,30205372416.0,62592512000.0,1185780000.0,106520.0,Turkey,"BIM Birlesik Magazalar A.S., together with its subsidiaries, operates retail stores in Turkey, Morocco, and Egypt. It sells meat, milk and milk products, beverages, legumes and bakery items, snacks and sweets, fruits and vegetables, frozen food, cleaning supplies, cosmetics and papers, and oils, as well as special buys and private label products. The company was incorporated in 1995 and is headquartered in Istanbul, Turkey.",self-funding (FCF positive),profitable and self-funding at current scale,0.65,7148465.0,-32387139584.0
CODYY,Saint-Gobain,t2,74,Shelter · Materials,SGO.PA,39322988544.0,46226001920.0,-0.011,0.27171,0.10799,3101625088.0,5327000064.0,5751000064.0,17269999616.0,489579039.0,155544.0,France,"Compagnie de Saint-Gobain S.A., together with its subsidiaries, designs, manufactures, and distributes materials and solutions for the construction and industrial markets worldwide. It operates in five segments: High Performance Solutions; Northern Europe; Southern Europe  Middle East (ME) Americas; and Asia-Pacific. The company offers plaster-based products and systems for the construction and renovation markets under the Placo, Rigips, and Gyproc brands; insulation solutions for a range of applications, such as heating and air conditioning systems, insulation of pipes in industrial installations, engine and interior compartments of vehicles, household appliances, and photovoltaic panels u",self-funding (FCF positive),profitable and self-funding at current scale,0.85,297189.0,-11518999552.0
YMM,Full Truck Alliance,t2,74,Transport · Logistics,YMM,9172492288.0,12780792832.0,0.044,0.87264997,0.43945998,6012681216.0,6700134912.0,23554768896.0,24858000.0,932510215.0,8251.0,China,"Full Truck Alliance Co. Ltd., together with its subsidiaries, operates a digital freight platform that connects shippers with truckers to facilitate shipments across distance ranges, cargo weights, and types in the People's Republic of China and Hong Kong. The company offers freight matching services, such as freight listing and brokerage services; and transaction services, as well as various value-added services, such as credit solutions, insurance brokerage, software solutions, electronic toll collection, Intelligent Driving Related Services, and energy services. It also provides technology development and other services. Full Truck Alliance Co. Ltd. was founded in 2011 and is based in Gui",self-funding (FCF positive),profitable and self-funding at current scale,0.72,1548999.0,23529910896.0
MHGVY,Mowi,t2,74,Food · Aquaculture,MOWI.OL,110098276352.0,6115899904.0,0.147,0.46194,0.0189,22450000.0,935400000.0,264200000.0,3649799936.0,527290596.0,12174.0,Norway,"Mowi ASA, a seafood company, produces and sells Atlantic salmon products worldwide. It operates through Feed, Farming, Markets, Consumer Products, and other segments. The company is involved in salmon feed production, salmon farming and primary processing, and seafood secondary processing activities. It offers whole fish, plain and marinated fillets and steaks, hot- and cold-smoked salmon, and burgers and patties, as well as breaded, gravad, and sushi products. The company was formerly known as Marine Harvest ASA and changed its name to Mowi ASA in December 2018. Mowi ASA was founded in 1964 and is based in Bergen, Norway.",self-funding (FCF positive),profitable and self-funding at current scale,18.0,502373.0,-3385599936.0
ATRC,AtriCure,t2,74,Health · Surgical,ATRC,2506182400.0,569622016.0,0.128,0.76298,0.06292,48811500.0,64939000.0,167786000.0,74221000.0,50866294.0,1350.0,United States,"AtriCure, Inc. engages in the development, manufacture, and sale of devices for surgical ablation of cardiac tissue, exclusion of the left atrial appendage, and temporarily blocking pain by ablating peripheral nerves to medical centers in the United States, the Asia-Pacific, and internationally. It offers Isolator Synergy Ablation System clamps, a single-use disposable radio frequency products; multifunctional pens and linear ablation devices, a single-use disposable RF products for the treatment of cardiac arrhythmias; cryoICE Cryoablation System that enables the user to make linear ablations of varied lengths; and EPi-Sense Systems, a single-use disposable device used for the treatment of ",self-funding (FCF positive),profitable and self-funding at current scale,4.4,421942.0,93565000.0
LEGH,Legacy Housing,t2,74,Shelter · Housing,LEGH,674684032.0,179450000.0,0.323,0.49159,0.39878,16362750.0,50581000.0,28965000.0,1109000.0,23781601.0,592.0,United States,"Legacy Housing Corporation engages in the building, sale, and financing of manufactured homes and tiny houses primarily in the southern United States. The company manufactures and provides for the transport of mobile homes, including 1 to 5 bedrooms with 1 to 3 1/2 bathrooms; and provides wholesale financing to dealers and mobile home parks, as well as retail financing to consumers. It also provides inventory financing for its independent retailers; consumer financing for its products; and financing to manufactured housing community owners that buy or lease its products for use in their rental housing communities. The company is involved in financing and developing new manufactured home comm",self-funding (FCF positive),profitable and self-funding at current scale,3.76,303125.0,27856000.0
CERS,Cerus,t3,75,Health · Blood safety,CERS,548147712.0,221551008.0,0.095,0.52049,-0.03235,875250.0,2417000.0,56264000.0,76799000.0,201524898.0,261.0,United States,"Cerus Corporation operates as a biomedical products company. The company focuses on developing and commercializing the INTERCEPT Blood System to enhance blood safety. The company offers INTERCEPT Blood System, a proprietary technology for controlling biological replication that is designed to reduce blood-borne pathogens in donated blood components intended for transfusion. The company also offers INTERCEPT Blood Systems for platelets plasma, and cryoprecipitation, which is designed to inactivate blood-borne pathogens in platelets and plasma donated for transfusion; INTERCEPT Blood System for red blood cells to inactivate blood-borne pathogens in red blood cells intended for transfusion; INT",self-funding (FCF positive),requires growth or external capital,2.47,848854.0,-20535000.0
SHLS,Shoals,t3,72,Energy · Solar,SHLS,1248785664.0,588057984.0,0.474,0.32109,0.13808,-42993376.0,-19310000.0,15724000.0,233811008.0,168299950.0,1480.0,United States,"Shoals Technologies Group, Inc. provides electrical balance of system (EBOS) solutions and components in the United States and internationally. The company designs, manufactures, and sells various products used by the solar and battery storage industries, including solar big lead assembly (BLA) solutions; homeruns, interconnection, and extension solutions; combiners and re-combiners; load break disconnects and transition solutions; wireless performance monitoring; and battery energy storage solutions (BESS). It also offers original equipment manufacturer (OEM) components; and technical support services during installation and the transition to operations and maintenance. The company sells it",burning; ~0.4y cash runway,requires growth or external capital,2.12,397336.0,-218087008.0
DMTRF,3-D Matrix,t3,72,Health · Surgical,7777.T,47225073664.0,10885999616.0,0.888,0.78743,0.1774,363750016.0,396000000.0,2830000128.0,600000000.0,127981235.0,129.0,Japan,"3-D Matrix, Ltd. developing, manufacturing, and selling self-assembling peptide technology in Japan and internationally. It offers PuraMatrix, a self-assembling peptide hydrogel for use in the regenerative medicine, cell therapy, drug delivery systems, and other uses in various fields; and surfactant-like peptide, as well as High Concentration PuraMatrix, a high concentration hydrogel; and GMP Grade PuraMatrix. The company was incorporated in 2004 and is based in Tokyo, Japan.",self-funding (FCF positive),profitable and self-funding at current scale,4.34,84387593.0,2230000128.0
ADMA,ADMA Biologics,t3,72,Health · Plasma,ADMA,2123374592.0,512275008.0,0.159,0.64705,-1.23389,54755376.0,136720000.0,55921152000.0,97668702208.0,223984680.0,640.0,United States,"ADMA Biologics, Inc., a biopharmaceutical company, develops, manufactures, and markets specialty plasma-derived biologics for the treatment of immune deficiencies and infectious diseases in the United States and internationally. The company operates through ADMA BioManufacturing and Plasma Collection Centers segments. The company offers BIVIGAM, an intravenous immune globulin (IVIG) product indicated for the treatment of primary humoral immunodeficiency (PI); ASCENIV, an IVIG product for the treatment of PI; and Nabi-HB, a human polyclonal antibody product for the treatment of acute exposure to blood containing Hepatitis B surface antigen and other listed exposures to Hepatitis B. It also de",self-funding (FCF positive),requires growth or external capital,4.14,800429.0,-41747550208.0
BIRMF,BioRem,t3,71,Water · Treatment,BRM.V,58665980.0,50699872.0,0.664,0.30396998,0.17169,-2096698.0,328433.0,7187654.0,2492826.0,16117027.0,,Canada,"BioRem Inc., a clean technology engineering company, designs, manufactures, distributes, and sells air pollution control systems that are used to eliminate odors, volatile organic compounds, and hazardous air pollutants. The company offers biofilters; biotrickling filters; multi-stage systems; biogas desulfurization systems; dry scrubber adsorption systems; and cannabis odor control systems. It also sells biofiltration media products under the BIOSORBENS, XLD, BIOPAK, BIOROLL, and BIOBLOK names. The company operates in Canada, the United States, China, and internationally. In addition, its products are used in wastewater and water treatment plants, municipal solid waste and waste to energy, ",burning; ~3.4y cash runway,requires growth or external capital,1.16,,4694828.0
WSIOF,Wasion,t3,65,Energy · Metering,3393.HK,16010830848.0,10073525248.0,0.142,0.35707,0.17754999,307977888.0,1407697024.0,3015241984.0,2508974080.0,1038989675.0,5448.0,Hong Kong,"Wasion Holdings Limited, an investment holding company, engages in the research and development, production, and sale of energy metering and energy efficiency management solutions for energy supply industries. The company operates through three segments: Smart grid solutions, AI-integrated energy efficiency solutions, and Digital energy services. Its Smart grid solutions segment offers power metering infrastructure to provides full-stack intelligent solutions for power grid planning, operation, monitoring, maintenance, and optimization by leveraging intelligence technologies, such as artificial intelligence and machine learning. The AI-integrated energy efficiency solutions segment is involv",self-funding (FCF positive),profitable and self-funding at current scale,1.59,1849031.0,506267904.0
BFLY,Butterfly Network,t4,72,Health · Imaging,BFLY,2322006784.0,112144000.0,0.395,0.68158996,-0.30897,925625.0,-24019000.0,124659000.0,19097000.0,244858246.0,220.0,United States,"Butterfly Network, Inc. develops, manufactures, and commercializes ultrasound imaging solutions in the United States and internationally. The company offers Butterfly iQ+ and iQ3 ultrasound devices that can perform whole-body imaging on a single handheld probe integrated with the clinical workflow, and accessible on a user's smartphone, tablet, and almost any hospital computer system; Butterfly Move, merging the mobility of a handheld with the stability of a full cart system; and iQ+ Bladder, a specialty product for bladder scanning market. It also provides Compass AI which offers one system to connect every device, workflow, and department; ScanLab, an AI-powered educational platform that p",self-funding (FCF positive),requires growth or external capital,20.71,509745.0,105562000.0
SRTA,Strata Critical,t4,72,Health · Organ transplant,SRTA,545840192.0,255975008.0,0.607,0.21250999,-0.06322,-20090750.0,-36032000.0,22753000.0,4255000.0,88466806.0,327.0,United States,"Strata Critical Medical, Inc. provides time-critical logistics and medical services to the healthcare industry in the United States. It operates in two segments, Logistics and Clinical. The company offers logistics services, such as air and ground transportation for human organs, transplant teams, and related medical materials and organ placement services; transplant clinical services, including organ recovery procedures, normothermic regional perfusion, and preservation services. It also provides other clinical services comprising cardiac perfusion services, blood management and autotransfusion services, extracorporeal membrane oxygenation services, perfusion staffing, and equipment rentals",burning; ~1.1y cash runway,requires growth or external capital,2.13,782798.0,18498000.0
